Cell	Longitude	Latitude
809	34.343353	47.3401
810	34.369823	47.339783
811	34.39629	47.339466
812	34.422756	47.339138
813	34.449223	47.338806
814	34.47569	47.33847
815	34.502155	47.338127
816	34.528618	47.337776
817	34.555084	47.33742
818	34.581547	47.33706
819	34.608013	47.33669
820	34.634476	47.336315
821	34.66094	47.335934
822	34.687397	47.33555
823	34.71386	47.335155
824	34.740322	47.334755
825	34.76678	47.33435
826	34.79324	47.333942
827	34.8197	47.333523
828	34.846157	47.3331
829	34.872616	47.332672
830	34.899075	47.332237
831	34.92553	47.331795
832	34.951984	47.331345
833	34.97844	47.33089
834	35.004894	47.330433
835	35.03135	47.329967
836	35.057804	47.329494
837	35.084255	47.329018
838	35.110706	47.328533
839	35.137157	47.32804
840	34.1055	47.360638
841	34.13198	47.36038
842	34.15846	47.36011
843	34.18494	47.35984
844	34.21142	47.359566
845	34.2379	47.359283
846	34.264378	47.358994
847	34.290855	47.3587
848	34.317333	47.3584
849	34.34381	47.35809
850	34.37029	47.357777
851	34.396763	47.357456
852	34.42324	47.357132
853	34.449715	47.3568
854	34.47619	47.35646
855	34.502666	47.356117
856	34.52914	47.355766
857	34.55561	47.35541
858	34.582085	47.35505
859	34.60856	47.35468
860	34.63503	47.354305
861	34.661503	47.353924
862	34.687973	47.35354
863	34.714443	47.353146
864	34.740913	47.352745
865	34.76738	47.35234
866	34.79385	47.35193
867	34.820316	47.35151
868	34.846786	47.351086
869	34.873253	47.35066
870	34.89972	47.350224
871	34.926186	47.34978
872	34.95265	47.34933
873	34.979115	47.348877
874	35.005577	47.34842
875	35.03204	47.34795
876	35.058502	47.34748
877	35.084965	47.347
878	35.111423	47.346516
879	35.137886	47.346027
880	34.105877	47.378628
881	34.132366	47.37837
882	34.158855	47.378105
883	34.185345	47.377834
884	34.21183	47.377556
885	34.23832	47.377274
886	34.26481	47.376984
887	34.291294	47.37669
888	34.31778	47.37639
889	34.34427	47.37608
890	34.370754	47.375767
891	34.39724	47.375446
892	34.423725	47.375122
893	34.450207	47.37479
894	34.476692	47.37445
895	34.503178	47.374107
896	34.52966	47.373756
897	34.55614	47.3734
898	34.582623	47.373035
899	34.609104	47.37267
900	34.635586	47.372295
901	34.662067	47.371914
902	34.688545	47.371525
903	34.715027	47.37113
904	34.741505	47.37073
905	34.767982	47.370327
906	34.79446	47.369915
907	34.82094	47.3695
908	34.847412	47.369076
909	34.87389	47.368645
910	34.900364	47.36821
911	34.926838	47.367767
912	34.953312	47.367317
913	34.979786	47.366863
914	35.00626	47.3664
915	35.03273	47.365936
916	35.059204	47.365463
917	35.085674	47.364986
918	35.112144	47.364502
919	35.13861	47.36401
920	34.10625	47.39662
921	34.13275	47.396362
922	34.15925	47.3961
923	34.185745	47.39583
924	34.212246	47.39555
925	34.238743	47.395267
926	34.265236	47.394978
927	34.291733	47.39468
928	34.31823	47.39438
929	34.344727	47.394073
930	34.37122	47.393757
931	34.397713	47.393436
932	34.42421	47.393112
933	34.450703	47.39278
934	34.477196	47.39244
935	34.50369	47.392097
936	34.530178	47.391747
937	34.55667	47.391388
938	34.58316	47.391026
939	34.609653	47.39066
940	34.636143	47.39028
941	34.662632	47.3899
942	34.68912	47.389515
943	34.71561	47.389122
944	34.742096	47.38872
945	34.768585	47.388313
946	34.79507	47.387905
947	34.821556	47.387486
948	34.84804	47.387062
949	34.874527	47.38663
950	34.901012	47.386196
951	34.927494	47.385754
952	34.95398	47.385303
953	34.98046	47.38485
954	35.006943	47.384388
955	35.033424	47.383923
956	35.059902	47.38345
957	35.086384	47.38297
958	35.11286	47.382484
959	35.13934	47.381992
960	34.10663	47.414616
961	34.133137	47.414356
962	34.159645	47.41409
963	34.18615	47.41382
964	34.212658	47.413544
965	34.239162	47.413258
966	34.265667	47.412968
967	34.292175	47.412674
968	34.31868	47.412373
969	34.345184	47.412064
970	34.37169	47.41175
971	34.39819	47.41143
972	34.424694	47.411102
973	34.451195	47.41077
974	34.4777	47.41043
975	34.5042	47.410088
976	34.5307	47.409737
977	34.5572	47.409378
978	34.583702	47.409016
979	34.6102	47.408646
980	34.6367	47.40827
981	34.663197	47.40789
982	34.689697	47.4075
983	34.716194	47.40711
984	34.74269	47.406708
985	34.769188	47.406303
986	34.79568	47.40589
987	34.822178	47.40547
988	34.84867	47.40505
989	34.875164	47.404617
990	34.901657	47.404182
991	34.92815	47.40374
992	34.954643	47.40329
993	34.981133	47.402836
994	35.007626	47.402374
995	35.034115	47.401905
996	35.060604	47.401432
997	35.087093	47.400955
998	35.11358	47.400467
999	35.140068	47.39998
1000	34.107006	47.432606
1001	34.133522	47.43235
1002	34.160038	47.432083
1003	34.186554	47.431812
1004	34.21307	47.431534
1005	34.239586	47.43125
1006	34.2661	47.43096
1007	34.292614	47.430664
1008	34.31913	47.430363
1009	34.345642	47.430054
1010	34.372154	47.42974
1011	34.398666	47.42942
1012	34.42518	47.429092
1013	34.45169	47.42876
1014	34.478203	47.42842
1015	34.76979	47.42429
1016	34.796295	47.423878
1017	34.8228	47.42346
1018	34.8493	47.423035
1019	34.875805	47.422604
1020	34.902306	47.42217
1021	34.928806	47.421726
1022	34.955307	47.421276
1023	34.981808	47.420822
1024	35.00831	47.42036
1025	35.03481	47.41989
1026	35.061306	47.41942
1027	35.087803	47.418938
1028	35.1143	47.418453
1029	35.140797	47.41796
1030	34.107384	47.4506
1031	34.13391	47.45034
1032	34.160435	47.450077
1033	34.18696	47.449802
1034	34.213486	47.449528
1035	34.24001	47.44924
1036	34.266533	47.44895
1037	34.293056	47.448658
1038	34.319576	47.448353
1039	34.3461	47.448048
1040	34.372623	47.44773
1041	34.399143	47.44741
1042	34.425667	47.447083
1043	34.452187	47.44675
1044	34.478706	47.44641
1045	34.770393	47.44228
1046	34.796906	47.441864
1047	34.823418	47.44145
1048	34.84993	47.44102
1049	34.876442	47.44059
1050	34.902954	47.440155
1051	34.929466	47.43971
1052	34.955975	47.439262
1053	34.982483	47.438805
1054	35.008995	47.438343
1055	35.0355	47.437878
1056	35.062008	47.4374
1057	35.088516	47.436924
1058	35.11502	47.436436
1059	35.141525	47.435944
1060	34.10776	47.468594
1061	34.134296	47.468334
1062	34.16083	47.468067
1063	34.187363	47.467796
1064	34.213898	47.467518
1065	34.240433	47.467236
1066	34.266964	47.466946
1067	34.293495	47.46665
1068	34.320026	47.466347
1069	34.34656	47.466038
1070	34.37309	47.46572
1071	34.39962	47.4654
1072	34.42615	47.465073
1073	34.452682	47.46474
1074	34.47921	47.4644
1075	34.770996	47.460266
1076	34.79752	47.459854
1077	34.82404	47.459435
1078	34.850563	47.459007
1079	34.877083	47.458576
1080	34.903603	47.45814
1081	34.930122	47.457695
1082	34.956642	47.457245
1083	34.983162	47.45679
1084	35.009678	47.45633
1085	35.036194	47.45586
1086	35.062714	47.455387
1087	35.089226	47.454906
1088	35.11574	47.454422
1089	35.142258	47.453926
1090	34.10814	47.486584
1091	34.134686	47.486324
1092	34.16123	47.48606
1093	34.18777	47.48579
1094	34.214314	47.48551
1095	34.240856	47.485226
1096	34.267395	47.484936
1097	34.293938	47.48464
1098	34.32048	47.484337
1099	34.34702	47.484028
1100	34.373558	47.48371
1101	34.4001	47.48339
1102	34.42664	47.483067
1103	34.45318	47.48273
1104	34.479713	47.48239
1105	34.771603	47.478252
1106	34.798134	47.47784
1107	34.824665	47.47742
1108	34.851196	47.476994
1109	34.877724	47.476562
1110	34.904255	47.476128
1111	34.930782	47.47568
1112	34.95731	47.47523
1113	34.983837	47.474777
1114	35.010365	47.474316
1115	35.036892	47.473846
1116	35.063416	47.47337
1117	35.08994	47.47289
1118	35.116463	47.472404
1119	35.142986	47.471912
1120	34.108517	47.504578
1121	34.13507	47.50432
1122	34.161625	47.50405
1123	34.188175	47.50378
1124	34.21473	47.5035
1125	34.24128	47.50322
1126	34.26783	47.502926
1127	34.29438	47.502632
1128	34.32093	47.502327
1129	34.34748	47.502018
1130	34.374027	47.501705
1131	34.400578	47.50138
1132	34.427124	47.501057
1133	34.453674	47.50072
1134	34.48022	47.50038
1135	34.772205	47.49624
1136	34.798748	47.495827
1137	34.825287	47.495407
1138	34.851826	47.494984
1139	34.878365	47.49455
1140	34.904903	47.494114
1141	34.931442	47.493668
1142	34.957977	47.493217
1143	34.984516	47.49276
1144	35.01105	47.4923
1145	35.037586	47.49183
1146	35.06412	47.491356
